sequence_nm,id,Geo location,Collection date,Country,Host,Host_species,Host_genus,Host_fam,Host_fam_ru,class,aa83_1B,aa90_1B,nt86_1B,nt80_1B
MT491732/NA/IBS543-2017/Gallus-gallus/2017,MT491732,Malaysia,2017,,Gallus gallus,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,3.0,41.0,40.0
MT491731/NA/UPM1019-2018/Gallus-gallus/2018,MT491731,Malaysia,Jan-2018,,Gallus gallus,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,3.0,41.0,40.0
MT491730/NA/IBS503-2017/Gallus-gallus/2017,MT491730,Malaysia,2017,,Gallus gallus,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,3.0,41.0,40.0
MT789787/NA/CAstV-CA-SK-Chicken-19-0981-19/chicken/2019,MT789787,,24-Apr-2019,,chicken,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,3.0,41.0,40.0
MT789786/NA/CAstV-CA-SK-Chicken-19-0935-19/chicken/2019,MT789786,,16-Apr-2019,,chicken,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,3.0,41.0,40.0
MT789785/NA/CAstV-CA-SK-Chicken-18-0942-18/chicken/2018,MT789785,,19-Jun-2018,,chicken,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,3.0,41.0,40.0
MT789784/NA/CAstV-CA-AB-Chicken-17-0823-17/chicken/2017,MT789784,,09-Aug-2017,,chicken,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,3.0,41.0,40.0
MT789783/NA/CAstV-CA-AB-Chicken-17-0773b-17/chicken/2017,MT789783,,25-Jul-2017,,chicken,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,3.0,41.0,40.0
MT789782/NA/CAstV-CA-AB-Chicken-17-0773a-17/chicken/2017,MT789782,,25-Jul-2017,,chicken,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,3.0,41.0,40.0
MT789781/NA/CAstV-CA-AB-Chicken-15-1262d-15/chicken/2015,MT789781,,19-Nov-2015,,chicken,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,3.0,41.0,40.0
MT789780/NA/CAstV-CA-AB-Chicken-15-1262c-15/chicken/2015,MT789780,,19-Nov-2015,,chicken,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,3.0,41.0,40.0
MT789779/NA/CAstV-CA-AB-Chicken-15-1262b-15/chicken/2015,MT789779,,19-Nov-2015,,chicken,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,3.0,41.0,40.0
MT789778/NA/CAstV-CA-AB-Chicken-15-1262a-15/chicken/2015,MT789778,,19-Nov-2015,,chicken,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,3.0,41.0,40.0
MT789777/NA/CAstV-CA-AB-Chicken-14-1235d-14/chicken/2014,MT789777,,09-Dec-2014,,chicken,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,3.0,41.0,40.0
MT789776/NA/CAstV-CA-AB-Chicken-14-1235c-14/chicken/2014,MT789776,,08-Dec-2014,,chicken,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,3.0,41.0,40.0
MT789775/NA/CAstV-CA-AB-Chicken-14-1235b-14/chicken/2014,MT789775,,08-Dec-2014,,chicken,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,3.0,41.0,40.0
MT789774/NA/CAstV-CA-AB-Chicken-14-1235a-14/chicken/2014,MT789774,,08-Dec-2014,,chicken,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,3.0,41.0,40.0
MN307120/NA/AstV-HN03-Goose-0402-19/goose/2019,MN307120,China,02-Apr-2019,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MN307119/NA/AstV-HB02-Goose-0310-19/goose/2019,MN307119,China,10-Mar-2019,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MN307118/NA/AstV-HB01-Goose-0123-19/goose/2019,MN307118,China,03-Jan-2019,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MN307117/NA/AstV-HN02-Goose-1119-18/goose/2018,MN307117,China,19-Nov-2018,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MN307116/NA/AstV-AH02-Goose-0715-18/goose/2018,MN307116,China,15-Jul-2018,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MN307115/NA/AstV-AH01-Goose-0512-18/goose/2018,MN307115,China,12-May-2018,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MN307114/NA/AstV-HN01-Goose-0103-18/goose/2018,MN307114,China,03-Jan-2018,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MN894548/NA/NA/goose/2019,MN894548,China: Hubei province,16-Jun-2019,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MN807051/NA/AAstV-Chicken-CHN-2018-CZ1801/Gallus-gallus/2018,MN807051,China,2018,,Gallus gallus,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,2.0,1.0,1.0
MN809622/NA/AstV-SDTA/duck/NA,MN809622,China,,,duck,Duck,Anas,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MT138011/NA/prf038ast1/NA/2018,MT138011,,2018,,nan,,,,,,47.0,41.0,40.0,39.0
MT138010/NA/prf037ast2/NA/2018,MT138010,,2018,,nan,,,,,,47.0,41.0,40.0,39.0
MT138007/NA/ltr178ast1/NA/2018,MT138007,,2018,,nan,,,,,,47.0,43.0,42.0,41.0
MT138005/NA/hwf041ast1/NA/2018,MT138005,,2018,,nan,,,,,,47.0,44.0,43.0,42.0
MT138002/NA/cra070ast1/NA/2018,MT138002,,2018,,nan,,,,,,50.0,46.0,45.0,44.0
MT137999/NA/coa196ast1/NA/2018,MT137999,,2018,,Periparus ater,Periparus ater,Periparus,Paridae,Paridae (синицевые),,23.0,26.0,24.0,24.0
MT137996/NA/cfe153ast01/NA/2018,MT137996,,2018,,nan,,,,,,1.0,50.0,49.0,48.0
MT138009/NA/prf037ast1nc/NA/2018,MT138009,,2018,,nan,,,,,,3.0,52.0,52.0,50.0
MT137995/NA/bun145astnc1/NA/2018,MT137995,,2018,,nan,,,,,,26.0,55.0,55.0,53.0
MT137994/NA/bsk136ast01/NA/2018,MT137994,,2018,,nan,,,,,,7.0,57.0,57.0,55.0
MT137992/NA/bfb201ast01/NA/2018,MT137992,,2018,,nan,,,,,,9.0,58.0,66.0,62.0
MT137991/NA/bbr144ast1/NA/2018,MT137991,,2018,,Prunella montanella,Prunella montanella,Prunella,Prunellidae,Prunellidae (завирушковые),,11.0,60.0,61.0,58.0
MN920672/NA/ytb090ast01/NA/2018,MN920672,China,2018,,nan,,,,,,9.0,58.0,66.0,62.0
MN920671/NA/ytb089ast01/NA/2018,MN920671,China,2018,,nan,,,,,,9.0,58.0,66.0,62.0
MN920670/NA/ybw202ast01/NA/2018,MN920670,China,2018,,nan,,,,,,16.0,18.0,16.0,15.0
MN920669/NA/ybb150ast01/NA/2018,MN920669,China,2018,,nan,,,,,,9.0,20.0,19.0,18.0
MN920668/NA/war204ast1/NA/2018,MN920668,China,2018,,nan,,,,,,26.0,23.0,21.0,21.0
MN920667/NA/tom152ast2/NA/2018,MN920667,China,2018,,Petroica macrocephala,Petroica macrocephala,Petroica,Petroicidae,Petroicidae (австралийские малиновки),,23.0,26.0,24.0,24.0
MN920663/NA/spa143ast1/NA/2018,MN920663,China,2018,,nan,,,,,,26.0,29.0,27.0,27.0
MN149392/NA/D17/Jinding-ducks/2013,MN149392,China,13-Oct-2013,,Jinding ducks,Jinding ducks,Anas,Anatidae,Anatidae (утиные),Aves,43.0,15.0,36.0,36.0
MN428645/NA/AHAU5/goose/2018,MN428645,China: Anhui,2018,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MN428644/NA/AHAU4/goose/2018,MN428644,China: Anhui,2018,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MN428643/NA/AHAU3/goose/2018,MN428643,China: Anhui,2018,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MN428642/NA/GD-AHAU2/goose/2018,MN428642,China: Anhui,2018,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MN428641/NA/AHAU1/goose/2018,MN428641,China: Anhui,2018,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MN175321/NA/NA/goose/2018,MN175321,China: Heilongjiang province,09-Jul-2018,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MN732559/NA/NA/Gallus-gallus-(broiler)/2017,MN732559,China,2017,,Gallus gallus (broiler),Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,63.0,9.0,8.0
MN732558/NA/NA/Gallus-gallus-(broiler)/2018,MN732558,China,2018,,Gallus gallus (broiler),Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,63.0,9.0,8.0
MN725026/NA/NA/chicken/2018,MN725026,China,2018,,chicken,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,2.0,1.0,1.0
MN725025/NA/NA/chicken/2018,MN725025,China,2018,,chicken,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,2.0,1.0,1.0
MN068024/NA/GTF-07/goose/2018,MN068024,China,Apr-2018,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MN068023/NA/GTF-04/goose/2018,MN068023,China,Apr-2018,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MN337323/NA/XX/goose/2018,MN337323,China,10-Jul-2018,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MN399857/NA/SDXT/duck/2019,MN399857,China,15-Mar-2019,,duck,Duck,Anas,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
KT886453/NA/CAstV-Poland-G059-2014/Gallus-gallus/2014,KT886453,Poland,Feb-2014,,Gallus gallus,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,3.0,41.0,40.0
MK125058/NA/JSHA/gosling/2016,MK125058,China,2016,,gosling,Gosling,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MK096775/NA/PasAstV-3/Passeriformes/2016,MK096775,French Guiana,Oct-2016,,Passeriformes,Passeriformes,Passer,Passeridae,Passeridae (воробьиные),Aves,51.0,47.0,46.0,45.0
MK096774/NA/PasAstV-2/Passeriformes/2016,MK096774,French Guiana,Oct-2016,,Passeriformes,Passeriformes,Passer,Passeridae,Passeridae (воробьиные),Aves,53.0,49.0,48.0,47.0
MK096773/NA/PasAstV-1/Passeriformes/NA,MK096773,French Guiana,,,Passeriformes,Passeriformes,Passer,Passeridae,Passeridae (воробьиные),Aves,27.0,30.0,28.0,28.0
MG661261/NA/NA/NA/2015,MG661261,China,2015,,rhesus monkey,Rhesus monkey,Macaca,Cercopithecidae,Cercopithecidae (мартышковые),,36.0,5.0,50.0,3.0
MH712856/NA/NA/duck/2012,MH712856,China,06-Feb-2012,,duck,Duck,Anas,Anatidae,Anatidae (утиные),Aves,43.0,15.0,36.0,36.0
MH807626/NA/NA/goose/2018,MH807626,China,08-Jan-2018,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
KY807085/NA/HN1G/Lingxian-White-Goose/2014,KY807085,China,20-May-2014,,Lingxian White Goose,Lingxian White Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MH453801/NA/AstV-Red-necked-Avocet-MW09-Interior/Red-necked-Avocet/2013,MH453801,Australia: Innaminka Regional Reserve,2013,,Red-necked Avocet,Red-necked Avocet,Recurvirostra,Recurvirostridae,Recurvirostridae (шилоклювковые),Aves,10.0,59.0,59.0,57.0
MH453800/NA/AstV-Red-necked-Avocet-MW08-Interior/Red-necked-Avocet/2013,MH453800,Australia: Western Port Bay,2013,,Red-necked Avocet,Red-necked Avocet,Recurvirostra,Recurvirostridae,Recurvirostridae (шилоклювковые),Aves,12.0,61.0,62.0,59.0
MG599931/NA/NA/Polypedates-megacephalus/NA,MG599931,China,,,Polypedates megacephalus,Polypedates megacephalus,Polypedates,Rhacophoridae,Rhacophoridae (веслоногие лягушки),Amphibia,29.0,32.0,30.0,30.0
MG599918/NA/NA/Hemidactylus-bowringii/NA,MG599918,China,,,Hemidactylus bowringii,Hemidactylus bowringii,Hemidactylus,Gekkonidae,Gekkonidae (гекконовые),Lepidosauria,32.0,35.0,33.0,33.0
MG599917/NA/NA/Gekko-similignum/NA,MG599917,China,,,Gekko similignum,Gekko similignum,Gekko,Gekkonidae,Gekkonidae (гекконовые),Lepidosauria,34.0,37.0,35.0,35.0
MG599916/NA/NA/Cynops-orientalis/NA,MG599916,China,,,Cynops orientalis,Cynops orientalis,Cynops,Salamandridae,Salamandridae (саламандровые),Amphibia,54.0,65.0,14.0,13.0
MG599910/NA/NA/Duttaphrynus-melanostictus/NA,MG599910,China,,,Duttaphrynus melanostictus,Duttaphrynus melanostictus,Duttaphrynus,Bufonidae,Bufonidae (жабовые),Amphibia,36.0,5.0,3.0,3.0
MH410610/NA/NA/goslings/2017,MH410610,China: Anhui province,Aug-2017,,goslings,Gosling,Anser,Anatidae,Anatidae (утиные),Aves,8.0,17.0,15.0,14.0
NC_034567/NA/FLX/Hortobagy-goose/2014,NC_034567,China,04-Jun-2014,,Hortobagy goose,Hortobagy goose,Anser,Anatidae,Anatidae (утиные),Aves,8.0,17.0,15.0,14.0
NC_012437/NA/NA/duck/2008,NC_012437,China,09-Jul-2008,,duck,Duck,Anas,Anatidae,Anatidae (утиные),Aves,43.0,15.0,36.0,36.0
NC_005790/NA/NA/NA/NA,NC_005790,,,,turkey,turkey,Meleagris,Phasianidae,Phasianidae (фазановые),Aves,13.0,62.0,63.0,60.0
NC_002470/NA/NA/turkey/NA,NC_002470,,,,turkey,turkey,Meleagris,Phasianidae,Phasianidae (фазановые),Aves,40.0,10.0,7.0,7.0
MG934571/NA/GD/goose/2017,MG934571,China: Guangdong,01-Nov-2017,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MF768270/NA/NA/pigeon/2014,MF768270,China,2014-03-01,,pigeon,Pigeon,Columba,Columbidae,Columbidae (голубиные),Aves,20.0,1.0,64.0,56.0
MH052598/NA/NA/goose/2017,MH052598,China,16-Nov-2017,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MF772821/NA/NA/Lande-geese/2017,MF772821,China: Shandong province,2017-04,,Lande geese,Lande geese,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
KY646154/NA/HB2015/Beijing-duck/2015,KY646154,China,2015,,Beijing duck,Beijing duck,Duck,Anatidae,Anatidae (утиные),Aves,43.0,15.0,36.0,36.0
KX397576/NA/CkP5/chicken/NA,KX397576,USA,,,chicken,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,3.0,41.0,40.0
KX397575/NA/CC-CkAstV/chicken/NA,KX397575,USA,,,chicken,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,3.0,41.0,40.0
KY271027/NA/FLX/Hortobagy-goose/2014,KY271027,China,04-Jun-2014,,Hortobagy goose,Hortobagy goose,Anser,Anatidae,Anatidae (утиные),Aves,8.0,17.0,15.0,14.0
KY038163/NA/CAstV-INDIA-ANAND-2016/chicken/2016,KY038163,India,24-Feb-2016,,chicken,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,3.0,41.0,40.0
FJ919228/NA/NA/duck/NA,FJ919228,China,,,duck,Duck,Anas,Anatidae,Anatidae (утиные),Aves,43.0,15.0,36.0,36.0
FJ919227/NA/NA/duck/NA,FJ919227,China,,,duck,Duck,Anas,Anatidae,Anatidae (утиные),Aves,43.0,15.0,36.0,36.0
FJ919226/NA/NA/duck/NA,FJ919226,China,,,duck,Duck,Anas,Anatidae,Anatidae (утиные),Aves,43.0,15.0,36.0,36.0
FJ919225/NA/NA/duck/NA,FJ919225,China,,,duck,Duck,Anas,Anatidae,Anatidae (утиные),Aves,43.0,15.0,36.0,36.0
JF414802/NA/GA2011/chicken/2007,JF414802,USA,Aug-2007,,chicken,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,3.0,41.0,40.0
KM254166/NA/AstroQ45-2013/chicken/2013,KM254166,South Korea,Aug-2013,,chicken,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,63.0,9.0,8.0
JX624774/NA/NA/Pekin-duck/NA,JX624774,China,,,Pekin duck,Beijing duck,Anas,Anatidae,Anatidae (утиные),Aves,38.0,7.0,17.0,16.0
KM985703/NA/VIC-6b/Gallus-gallus/2010,KM985703,Australia,28-Jul-2010,,Gallus gallus,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,63.0,9.0,8.0
KM985702/NA/VIC-6a/Gallus-gallus/2010,KM985702,Australia,28-Jul-2010,,Gallus gallus,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,63.0,9.0,8.0
KJ020899/NA/NA/duck/2013,KJ020899,China,22-Jun-2013,,duck,Duck,Anas,Anatidae,Anatidae (утиные),Aves,41.0,12.0,11.0,10.0
KF753807/NA/NA/NA/2012,KF753807,China,15-Sep-2012,,duck,Duck,Anas,Anatidae,Anatidae (утиные),Aves,13.0,13.0,10.0,9.0
KF753806/NA/NA/NA/2012,KF753806,China,15-Sep-2012,,duck,Duck,Anas,Anatidae,Anatidae (утиные),Aves,13.0,13.0,10.0,9.0
KF753805/NA/NA/NA/2012,KF753805,China,15-Sep-2012,,duck,Duck,Anas,Anatidae,Anatidae (утиные),Aves,13.0,13.0,10.0,9.0
KF753804/NA/NA/NA/2012,KF753804,China,15-Sep-2012,,duck,Duck,Anas,Anatidae,Anatidae (утиные),Aves,13.0,13.0,10.0,9.0
JX439643/NA/NA/duck/2012,JX439643,China,01-Jan-2012,,duck,Duck,Anas,Anatidae,Anatidae (утиные),Aves,43.0,15.0,36.0,36.0
Y15936/NA/NA/turkey/NA,Y15936,,,,turkey,turkey,Meleagris,Phasianidae,Phasianidae (фазановые),Aves,40.0,10.0,7.0,7.0
FJ434664/NA/NA/duck/2008,FJ434664,China,09-Jul-2008,,duck,Duck,Anas,Anatidae,Anatidae (утиные),Aves,43.0,15.0,36.0,36.0
EU143851/NA/NA/NA/NA,EU143851,,,,turkey,turkey,Meleagris,Phasianidae,Phasianidae (фазановые),Aves,13.0,62.0,63.0,60.0
EU143850/NA/NA/NA/NA,EU143850,,,,turkey,turkey,Meleagris,Phasianidae,Phasianidae (фазановые),Aves,13.0,62.0,63.0,60.0
EU143849/NA/NA/NA/NA,EU143849,,,,turkey,turkey,Meleagris,Phasianidae,Phasianidae (фазановые),Aves,13.0,62.0,63.0,60.0
EU143848/NA/NA/NA/NA,EU143848,,,,turkey,turkey,Meleagris,Phasianidae,Phasianidae (фазановые),Aves,13.0,62.0,63.0,60.0
EU143847/NA/NA/NA/NA,EU143847,,,,turkey,turkey,Meleagris,Phasianidae,Phasianidae (фазановые),Aves,13.0,62.0,63.0,60.0
EU143846/NA/NA/NA/NA,EU143846,,,,turkey,turkey,Meleagris,Phasianidae,Phasianidae (фазановые),Aves,13.0,62.0,63.0,60.0
EU143845/NA/NA/NA/NA,EU143845,,,,turkey,turkey,Meleagris,Phasianidae,Phasianidae (фазановые),Aves,13.0,62.0,63.0,60.0
EU143844/NA/NA/NA/NA,EU143844,,,,turkey,turkey,Meleagris,Phasianidae,Phasianidae (фазановые),Aves,13.0,62.0,63.0,60.0
EU143843/NA/NA/NA/NA,EU143843,,,,turkey,turkey,Meleagris,Phasianidae,Phasianidae (фазановые),Aves,13.0,62.0,63.0,60.0
AF206663/NA/NA/NA/NA,AF206663,,,,turkey,turkey,Meleagris,Phasianidae,Phasianidae (фазановые),Aves,13.0,62.0,63.0,60.0
JF832365/NA/4175/Gallus-gallus/2006,JF832365,USA: GA,Nov-2006,,Gallus gallus,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,48.0,42.0,41.0,40.0
HV511037/NA/NA/NA/NA,HV511037,,,,nan,,,,,,20.0,63.0,9.0,8.0
HQ889774/NA/NA/pigeon/2010,HQ889774,China: Shanghai,Sep-2010,,pigeon,Pigeon,Columba,Columbidae,Columbidae (голубиные),Aves,20.0,63.0,9.0,8.0
HM029238/NA/NA/chicken/2009,HM029238,China: Sichuan,2009,,chicken,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,63.0,9.0,8.0
AB033998/NA/NA/NA/NA,AB033998,,,,chicken,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,63.0,9.0,8.0
