ID,Version,GenBank title,Release date,Organism name,Virus Lineage,Species,Family,Length,Submitters,Strain,Isolate,Geo location,Country,Collection date,Tissue/Specimen/Source,Host,Environmental,CDS count,Artificial,UNVERIFIED,class,1A,1A-strand,1B,1B-strand,2,2-strand
OQ236123,OQ236123.1,MAG: Bat astrovirus isolate AstV/CQ/L76.18c/2021 genomic sequence,05-JUN-2024,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6687,"Chen,R.",,AstV/CQ/L76.18c/2021,China,,Dec-2021,,Hipposideros armiger,Yes,3,No,No,Mammalia,1664-2675,1.0,2686-4249,1.0,4199-6602,1.0
OQ236121,OQ236121.1,MAG: Bat astrovirus isolate AstV/CQ/L76.18a/2021 genomic sequence,05-JUN-2024,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6711,"Chen,R.",,AstV/CQ/L76.18a/2021,China,,Dec-2021,,Hipposideros armiger,Yes,3,No,No,Mammalia,1661-2663,1.0,2674-4219,1.0,4187-6587,1.0
OQ236157,OQ236157.1,MAG: Bamboo rat astrovirus isolate AstV/GX/B30M0312/2019 genomic sequence,05-JUN-2024,Bamboo rat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,3675,"Chen,R.",,AstV/GX/B30M0312/2019,China,,Mar-2019,,Rhizomys pruinosus,Yes,2,No,No,Mammalia,NA-NA,,2-1433,1.0,1438-3595,1.0
OQ236114,OQ236114.1,MAG: Rhinolophus pusillus astrovirus isolate AstV/GD/L93.21/2022 cRNA sequence,05-JUN-2024,Rhinolophus pusillus astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6480,"Chen,R.",,AstV/GD/L93.21/2022,China,,Apr-2022,,Rhinolophus pusillus,Yes,2,No,No,Mammalia,NA-NA,,2636-4172,1.0,4152-6480,1.0
OQ236112,OQ236112.1,MAG: Niviventer sp. astrovirus isolate AstV/GD/C5-49.18/2022 cRNA sequence,05-JUN-2024,Niviventer sp. astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,3908,"Chen,R.",,AstV/GD/C5-49.18/2022,China,,Dec-2021,,Niviventer sp.,Yes,2,No,No,Mammalia,NA-NA,,0-1329,1.0,1321-3835,1.0
PP700500,PP700500.1,MAG: Eviota astrovirus isolate F32 cRNA sequence,02-JUN-2024,Eviota astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1587,"Costa,V.A., Bellwood,D.R., Mifsud,J.C.O., Geoghegan,J.L., Harvey,E. and Holmes,E.C.",,F32,Australia: Lizard Island,,Jan-2022,liver and gill tissue,Eviota sp.,Yes,1,No,No,Actinopteri,NA-NA,,0-1587,1.0,NA-NA,
PP700499,PP700499.1,MAG: Dascyllus reticulatus astrovirus isolate F31 cRNA sequence,02-JUN-2024,Dascyllus reticulatus astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1371,"Costa,V.A., Bellwood,D.R., Mifsud,J.C.O., Geoghegan,J.L., Harvey,E. and Holmes,E.C.",,F31,Australia: Lizard Island,,Jan-2022,liver and gill tissue,Dascyllus reticulatus,Yes,1,No,No,Actinopteri,NA-NA,,0-1371,1.0,NA-NA,
PP646881,PP646881.2,"Goat astrovirus isolate GX/WZ/2023, complete genome",21-MAY-2024,Goat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6284,"Zhou,Y., Mo,X., Huang,W. and Qin,Y.",,GX/WZ/2023,China,,2023,feces,goat,No,3,No,No,Mammalia,23-2465,1.0,2422-3928,1.0,3920-6092,1.0
PP763758,PP763758.1,"Goose astrovirus 1 isolate AAstV/Goose/CHN/2023/C102, complete genome",14-MAY-2024,Goose astrovirus 1,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7295,"Chen,G., Zhang,H. and Hao,X.",,AAstV/Goose/CHN/2023/C102,China: Sichuan province,,Jun-2023,liver,goose,No,3,No,No,Aves,22-3304,1.0,3288-4839,1.0,4832-6992,1.0
PP174201,PP174201.1,MAG: Sopitred virus isolate SP2C_k141_173245 genomic sequence,20-APR-2024,Sopitred virus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,2039,"Sadiq,S., Harvey,E., Mifsud,J.C.O., Minasny,B., Mcbratney,A.B., Pozza,L.E., Mahar,J.E. and Holmes,E.C.",,SP2C_k141_173245,Australia: New South Wales,,17-Dec-2021,farmland soil (pasture),,Yes,1,No,No,,NA-NA,,0-1623,-1.0,NA-NA,
PP174197,PP174197.1,MAG: Sopicas virus isolate SP2C_k141_157132 genomic sequence,20-APR-2024,Sopicas virus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1931,"Sadiq,S., Harvey,E., Mifsud,J.C.O., Minasny,B., Mcbratney,A.B., Pozza,L.E., Mahar,J.E. and Holmes,E.C.",,SP2C_k141_157132,Australia: New South Wales,,17-Dec-2021,farmland soil (pasture),,Yes,1,No,No,,NA-NA,,66-1740,-1.0,NA-NA,
PP174176,PP174176.1,MAG: Sopiway virus isolate SP2B_k141_169106 genomic sequence,20-APR-2024,Sopiway virus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1412,"Sadiq,S., Harvey,E., Mifsud,J.C.O., Minasny,B., Mcbratney,A.B., Pozza,L.E., Mahar,J.E. and Holmes,E.C.",,SP2B_k141_169106,Australia: New South Wales,,17-Dec-2021,farmland soil (pasture),,Yes,1,No,No,,NA-NA,,0-1412,1.0,NA-NA,
PP174052,PP174052.1,MAG: Sopigof virus isolate SP1C_k141_170176 genomic sequence,20-APR-2024,Sopigof virus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,5160,"Sadiq,S., Harvey,E., Mifsud,J.C.O., Minasny,B., Mcbratney,A.B., Pozza,L.E., Mahar,J.E. and Holmes,E.C.",,SP1C_k141_170176,Australia: New South Wales,,17-Dec-2021,farmland soil (pasture),,Yes,3,No,No,,NA-NA,,1584-3111,1.0,NA-NA,
PP174037,PP174037.1,MAG: Sopises virus isolate SP1C_k141_138402 genomic sequence,20-APR-2024,Sopises virus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,2801,"Sadiq,S., Harvey,E., Mifsud,J.C.O., Minasny,B., Mcbratney,A.B., Pozza,L.E., Mahar,J.E. and Holmes,E.C.",,SP1C_k141_138402,Australia: New South Wales,,17-Dec-2021,farmland soil (pasture),,Yes,2,No,No,,NA-NA,,1289-2801,-1.0,NA-NA,
PP173952,PP173952.1,MAG: Sopidep virus isolate SP1A_k141_93956 genomic sequence,20-APR-2024,Sopidep virus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,4899,"Sadiq,S., Harvey,E., Mifsud,J.C.O., Minasny,B., Mcbratney,A.B., Pozza,L.E., Mahar,J.E. and Holmes,E.C.",,SP1A_k141_93956,Australia: New South Wales,,17-Dec-2021,farmland soil (pasture),,Yes,3,No,No,,NA-NA,,1503-3006,-1.0,NA-NA,
PP173905,PP173905.1,MAG: Sopicug virus isolate SP1A_k141_108659 genomic sequence,20-APR-2024,Sopicug virus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,3786,"Sadiq,S., Harvey,E., Mifsud,J.C.O., Minasny,B., Mcbratney,A.B., Pozza,L.E., Mahar,J.E. and Holmes,E.C.",,SP1A_k141_108659,Australia: New South Wales,,17-Dec-2021,farmland soil (pasture),,Yes,2,No,No,,NA-NA,,0-2812,-1.0,NA-NA,
PP173619,PP173619.1,MAG: Ripipron virus isolate MP3_k141_278491 genomic sequence,20-APR-2024,Ripipron virus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,4373,"Sadiq,S., Harvey,E., Mifsud,J.C.O., Minasny,B., Mcbratney,A.B., Pozza,L.E., Mahar,J.E. and Holmes,E.C.",,MP3_k141_278491,Australia: Western Australia,,09-May-2022,riverbank sediment,,Yes,2,No,No,,NA-NA,,0-1555,-1.0,NA-NA,
PP173376,PP173376.1,MAG: Ripishic virus isolate KCAP3_k141_88145 genomic sequence,20-APR-2024,Ripishic virus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,2020,"Sadiq,S., Harvey,E., Mifsud,J.C.O., Minasny,B., Mcbratney,A.B., Pozza,L.E., Mahar,J.E. and Holmes,E.C.",,KCAP3_k141_88145,Australia: Western Australia,,09-May-2022,riverbank sediment,,Yes,2,No,No,,NA-NA,,0-1553,-1.0,NA-NA,
PP173125,PP173125.1,MAG: Ripishyf virus isolate KCAP3_k141_153500 genomic sequence,20-APR-2024,Ripishyf virus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,2179,"Sadiq,S., Harvey,E., Mifsud,J.C.O., Minasny,B., Mcbratney,A.B., Pozza,L.E., Mahar,J.E. and Holmes,E.C.",,KCAP3_k141_153500,Australia: Western Australia,,09-May-2022,riverbank sediment,,Yes,2,No,No,,NA-NA,,180-1545,-1.0,NA-NA,
PP172690,PP172690.1,MAG: Ripinasc virus isolate KCAP1_k141_334640 genomic sequence,20-APR-2024,Ripinasc virus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,4331,"Sadiq,S., Harvey,E., Mifsud,J.C.O., Minasny,B., Mcbratney,A.B., Pozza,L.E., Mahar,J.E. and Holmes,E.C.",,KCAP1_k141_334640,Australia: Western Australia,,09-May-2022,riverbank sediment,,Yes,1,No,No,,NA-NA,,2-4331,1.0,NA-NA,
PP172253,PP172253.1,MAG: Chronimunb virus isolate CN1B_k141_41676 genomic sequence,20-APR-2024,Chronimunb virus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,3298,"Sadiq,S., Harvey,E., Mifsud,J.C.O., Minasny,B., Mcbratney,A.B., Pozza,L.E., Mahar,J.E. and Holmes,E.C.",,CN1B_k141_41676,Australia: New South Wales,,17-Dec-2021,farmland soil (native),,Yes,2,No,No,,NA-NA,,1514-3143,-1.0,127-1408,-1.0
PP172252,PP172252.1,MAG: Chronihask virus isolate CN1B_k141_41417 genomic sequence,20-APR-2024,Chronihask virus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,7368,"Sadiq,S., Harvey,E., Mifsud,J.C.O., Minasny,B., Mcbratney,A.B., Pozza,L.E., Mahar,J.E. and Holmes,E.C.",,CN1B_k141_41417,Australia: New South Wales,,17-Dec-2021,farmland soil (native),,Yes,3,No,No,,NA-NA,,0-3610,-1.0,NA-NA,
PP171953,PP171953.1,MAG: Chrocifust virus isolate CC1B_k141_72897 genomic sequence,20-APR-2024,Chrocifust virus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,7907,"Sadiq,S., Harvey,E., Mifsud,J.C.O., Minasny,B., Mcbratney,A.B., Pozza,L.E., Mahar,J.E. and Holmes,E.C.",,CC1B_k141_72897,Australia: New South Wales,,17-Dec-2021,farmland soil (cropping),,Yes,3,No,No,,NA-NA,,4009-5551,1.0,5566-7549,1.0
PP171789,PP171789.1,MAG: Chrocigord virus isolate CC1A_k141_26573 genomic sequence,20-APR-2024,Chrocigord virus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,3359,"Sadiq,S., Harvey,E., Mifsud,J.C.O., Minasny,B., Mcbratney,A.B., Pozza,L.E., Mahar,J.E. and Holmes,E.C.",,CC1A_k141_26573,Australia: New South Wales,,17-Dec-2021,farmland soil (cropping),,Yes,2,No,No,,NA-NA,,1600-3295,1.0,NA-NA,
OR871060,OR871060.1,MAG: Astroviridae sp. isolate HAFQP22/11 cRNA sequence,16-MAR-2024,Astroviridae sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,2325,"Yan,X.M.",,HAFQP22/11,China: Guizhou,,2022,spleen,Hipposideros armiger,Yes,0,No,No,Mammalia,NA-NA,,2-1304,1.0,NA-NA,
PP272790,PP272790.1,MAG: Copper skink astrovirus isolate DN66980 genomic sequence,06-MAR-2024,Copper skink astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,5545,"Waller,S.J., Butcher,R., Lim,L., Mcinnes,K., Holmes,E.C. and Geoghegan,J.L.",,DN66980,New Zealand,,2021,cloacal swab,Oligosoma aeneum,Yes,2,No,No,Lepidosauria,2-3332,1.0,3034-4756,1.0,NA-NA,
PP352011,PP352011.1,MAG: Astrovirus sp. isolate Jiangxi/CHN/2022 genomic sequence,04-MAR-2024,Astrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6453,"Li,C.X., He,B., Yi,L. and Hu,Y.Z.",,Jiangxi/CHN/2022,China: Jiangxi,,2022,lung,Pelophylax nigromaculatus,Yes,2,No,No,Amphibia,356-2737,1.0,2737-4054,1.0,4011-6294,1.0
PP352010,PP352010.1,MAG: Astrovirus sp. isolate Hunan/CHN/2022 genomic sequence,04-MAR-2024,Astrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6191,"Li,C.X., He,B., Yi,L. and Hu,Y.Z.",,Hunan/CHN/2022,China: Hunan,,2022,liver,Pelophylax nigromaculatus,Yes,2,No,No,Amphibia,60-2689,1.0,2690-4088,1.0,4111-6191,1.0
OR924090,OR924090.1,"Duck astrovirus strain X2250, complete genome",18-DEC-2023,Duck astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus;Avastrovirus intestini,Avastrovirus intestini,Astroviridae,7287,"Deng,C., Zhang,F., Luo,J. and Li,Y.",X2250,,China,,09-Nov-2021,Throat and anal swabs,Goose,No,3,No,No,Aves,12-3375,1.0,3365-4910,1.0,4926-7110,1.0
OR907127,OR907127.1,"Duck astrovirus CPH strain C1350, complete genome",18-DEC-2023,Duck astrovirus CPH,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7463,"Li,Y., Luo,J., Zhang,F.Y., Shang,J.J., Feng,Y.J., Meng,G., Deng,C.R., Jiang,W.M., Yu,X.H., Liu,G.H. and Liu,H.L.",C1350,,China,,21-Mar-2023,Throat and anal swabs,Goose,No,3,No,No,Aves,19-3445,1.0,3435-4986,1.0,5006-7244,1.0
OQ986722,OQ986722.1,MAG: Spider astrovirus isolate ARAN genomic sequence,10-DEC-2023,Spider astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6771,"French,R.K., Anderson,S.H., Cain,K.E., Greene,T.C., Minor,M., Miskelly,C.M., Montoya,J.M., Muller,C.G., Taylor,M.W., Recovery Team,K. and Holmes,E.C.",,ARAN,New Zealand: Pukenui/Anchor Island,,Feb-2021/Mar-2021,,Araneae,Yes,2,No,No,Arachnida,NA-NA,,3190-4882,1.0,4892-6731,1.0
OQ986648,OQ986648.1,MAG: Avian astrovirus 13 isolate GEIG genomic sequence,10-DEC-2023,Avian astrovirus 13,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,4527,"French,R.K., Anderson,S.H., Cain,K.E., Greene,T.C., Minor,M., Miskelly,C.M., Montoya,J.M., Muller,C.G., Taylor,M.W., Recovery Team,K. and Holmes,E.C.",,GEIG,New Zealand: Pukenui/Anchor Island,,Feb-2021/Mar-2021,cloacal swab,,Yes,2,No,No,,15-2793,1.0,2864-4355,1.0,NA-NA,
OQ986679,OQ986679.1,MAG: Avian astrovirus 3 isolate GEIG genomic sequence,10-DEC-2023,Avian astrovirus 3,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6531,"French,R.K., Anderson,S.H., Cain,K.E., Greene,T.C., Minor,M., Miskelly,C.M., Montoya,J.M., Muller,C.G., Taylor,M.W., Recovery Team,K. and Holmes,E.C.",,GEIG,New Zealand: Pukenui/Anchor Island,,Feb-2021/Mar-2021,cloacal swab,,Yes,3,No,No,,0-2553,1.0,2648-4040,1.0,3834-6327,1.0
OQ986609,OQ986609.1,MAG: Avian astrovirus 9 isolate RHFU genomic sequence,10-DEC-2023,Avian astrovirus 9,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6664,"French,R.K., Anderson,S.H., Cain,K.E., Greene,T.C., Minor,M., Miskelly,C.M., Montoya,J.M., Muller,C.G., Taylor,M.W., Recovery Team,K. and Holmes,E.C.",,RHFU,New Zealand: Pukenui/Anchor Island,,Feb-2021/Mar-2021,cloacal swab,,Yes,3,No,No,,4037-6656,-1.0,2490-3900,-1.0,176-2537,-1.0
OQ986608,OQ986608.1,MAG: Avian astrovirus 5 isolate RHFU genomic sequence,10-DEC-2023,Avian astrovirus 5,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6520,"French,R.K., Anderson,S.H., Cain,K.E., Greene,T.C., Minor,M., Miskelly,C.M., Montoya,J.M., Muller,C.G., Taylor,M.W., Recovery Team,K. and Holmes,E.C.",,RHFU,New Zealand: Pukenui/Anchor Island,,Feb-2021/Mar-2021,cloacal swab,,Yes,3,No,No,,36-2637,1.0,2732-4127,1.0,4130-6443,1.0
OQ986607,OQ986607.1,MAG: Avian astrovirus 4 isolate GEIG genomic sequence,10-DEC-2023,Avian astrovirus 4,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6631,"French,R.K., Anderson,S.H., Cain,K.E., Greene,T.C., Minor,M., Miskelly,C.M., Montoya,J.M., Muller,C.G., Taylor,M.W., Recovery Team,K. and Holmes,E.C.",,GEIG,New Zealand: Pukenui/Anchor Island,,Feb-2021/Mar-2021,cloacal swab,,Yes,3,No,No,,164-2726,1.0,2701-4216,1.0,4194-6450,1.0
OQ986677,OQ986677.1,MAG: Avian astrovirus 15 isolate GEIG genomic sequence,10-DEC-2023,Avian astrovirus 15,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,4789,"French,R.K., Anderson,S.H., Cain,K.E., Greene,T.C., Minor,M., Miskelly,C.M., Montoya,J.M., Muller,C.G., Taylor,M.W., Recovery Team,K. and Holmes,E.C.",,GEIG,New Zealand: Pukenui/Anchor Island,,Feb-2021/Mar-2021,cloacal swab,,Yes,3,No,No,,2-770,1.0,772-2362,1.0,2066-4607,1.0
OQ986606,OQ986606.1,MAG: Avian astrovirus 14 isolate GEIG genomic sequence,10-DEC-2023,Avian astrovirus 14,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6655,"French,R.K., Anderson,S.H., Cain,K.E., Greene,T.C., Minor,M., Miskelly,C.M., Montoya,J.M., Muller,C.G., Taylor,M.W., Recovery Team,K. and Holmes,E.C.",,GEIG,New Zealand: Pukenui/Anchor Island,,Feb-2021/Mar-2021,cloacal swab,,Yes,3,No,No,,37-2632,1.0,2655-4254,1.0,4123-6469,1.0
OR711901,OR711901.1,"Rodent astrovirus strain CHN/YN/KM-5/2022, complete genome",11-NOV-2023,Rodent astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,6688,"Xia,X., Wang,B., Hou,J., Huang,X., Yang,L., Le,X., Ning,Y. and Wang,J.",CHN/YN/KM-5/2022,YNKm72022,China,,Jul-2022,,Rattus norvegicus,No,3,No,No,Mammalia,23-2660,1.0,2660-4226,1.0,4226-6596,1.0
OR613303,OR613303.1,"Bat astrovirus isolate MSJDC22/12649 non-structural ORF1ab polyprotein and ORF1a genes, partial cds; and capsid protein precursor, gene, complete cds",08-NOV-2023,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6557,"Yan,X.M.",,MSJDC22/12649,China: Jiangxi,,2022,intestine,Miniopterus schreibersii,No,3,No,No,Mammalia,2-2534,1.0,2491-4060,1.0,4078-6295,1.0
OR613301,OR613301.1,"Bat astrovirus isolate MSCZC1516/7 non-structural ORF1ab polyprotein gene, partial cds",08-NOV-2023,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1739,"Yan,X.M.",,MSCZC1516/7,China: Guangxi,,2015,intestine,Miniopterus schreibersii,No,1,No,No,Mammalia,2-434,1.0,433-1739,1.0,NA-NA,
OR613299,OR613299.1,"Bat astrovirus isolate HLNN15/1 non-structural ORF1ab polyprotein and ORF1a genes, partial cds; and capsid protein gene, complete cds",08-NOV-2023,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6498,"Yan,X.M.",,HLNN15/1,China: Guangxi,,2015,intestine,Hipposideros larvatus,No,3,No,No,Mammalia,0-2631,1.0,2477-4088,1.0,4096-6256,1.0
OR613294,OR613294.1,"Bat astrovirus isolate MSCZC1516/7 non-structural polyprotein 1ab and capsid protein precursor, genes, partial cds",08-NOV-2023,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,4078,"Yan,X.M.",,MSCZC1516/7,China: Guangxi,,2015,intestine,Miniopterus schreibersii,No,2,No,No,Mammalia,1-1843,1.0,1842-3414,1.0,3428-4078,1.0
OQ802759,OQ802759.1,MAG: Wufeng shrew astrovirus 1 isolate WF_Ni.niviventer_astro_1 genomic sequence,30-OCT-2023,Wufeng shrew astrovirus 1,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6202,"Chen,Y.-M., Hu,S.-J. and Zhang,Y.-Z.",,WF_Ni.niviventer_astro_1,China: Wufeng,,2016/2017,,Niviventer niviventer,Yes,3,No,No,Mammalia,18-2514,1.0,2411-3920,1.0,3687-6202,1.0
OQ802750,OQ802750.1,MAG: Wenzhou bat astrovirus 3 isolate WZ_My.laniger_astro_2 genomic sequence,30-OCT-2023,Wenzhou bat astrovirus 3,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6754,"Chen,Y.-M., Hu,S.-J. and Zhang,Y.-Z.",,WZ_My.laniger_astro_2,China: Wenzhou,,2016/2017,,Myotis laniger,Yes,3,No,No,Mammalia,1-2626,1.0,2574-4122,1.0,4134-6510,1.0
OQ802749,OQ802749.1,MAG: Wenzhou bat astrovirus 2 isolate WZ_Pi.abramus_astro_3 genomic sequence,30-OCT-2023,Wenzhou bat astrovirus 2,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6594,"Chen,Y.-M., Hu,S.-J. and Zhang,Y.-Z.",,WZ_Pi.abramus_astro_3,China: Wenzhou,,2016/2017,,Pipistrellus abramus,Yes,3,No,No,Mammalia,1-2632,1.0,2517-4227,1.0,4138-6286,1.0
OQ802743,OQ802743.1,MAG: Wenzhou bat astrovirus 1 isolate WZ_Hy.pulveratus_astro_1 genomic sequence,30-OCT-2023,Wenzhou bat astrovirus 1,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6277,"Chen,Y.-M., Hu,S.-J. and Zhang,Y.-Z.",,WZ_Hy.pulveratus_astro_1,China: Wenzhou,,2016/2017,,Hypsugo pulveratus,Yes,3,No,No,Mammalia,7-2338,1.0,2301-3990,1.0,3784-5272,1.0
OQ802738,OQ802738.1,MAG: Longquan rodent astrovirus 1 isolate LQ_Ap.agrarius_astro_1 genomic sequence,30-OCT-2023,Longquan rodent astrovirus 1,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6633,"Chen,Y.-M., Hu,S.-J. and Zhang,Y.-Z.",,LQ_Ap.agrarius_astro_1,China: Longquan,,2016/2017,,Apodemus agrarius,Yes,3,No,No,Mammalia,0-2661,1.0,2600-4109,1.0,4101-6558,1.0
OQ802736,OQ802736.1,MAG: Longquan bat astrovirus 1 isolate LQ_Rh.pearsonii_astro_2 genomic sequence,30-OCT-2023,Longquan bat astrovirus 1,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,2723,"Chen,Y.-M., Hu,S.-J. and Zhang,Y.-Z.",,LQ_Rh.pearsonii_astro_2,China: Longquan,,2016/2017,,Rhinolophus pearsonii,Yes,2,No,No,Mammalia,0-1143,1.0,1103-2723,1.0,NA-NA,
OQ802733,OQ802733.1,MAG: Jingmen shrew astrovirus 1 isolate JM_Cr.shantungensis_astro_1 genomic sequence,30-OCT-2023,Jingmen shrew astrovirus 1,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,5013,"Chen,Y.-M., Hu,S.-J. and Zhang,Y.-Z.",,JM_Cr.shantungensis_astro_1,China: Jingmen,,2016/2017,,Crocidura shantungensis,Yes,3,No,No,Mammalia,1-1186,1.0,1122-2691,1.0,2650-4831,1.0
OQ802722,OQ802722.1,MAG: Jingmen rodent astrovirus 2 isolate WZ_Ra.tanezumi_astro_1 genomic sequence,30-OCT-2023,Jingmen rodent astrovirus 2,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6721,"Chen,Y.-M., Hu,S.-J. and Zhang,Y.-Z.",,WZ_Ra.tanezumi_astro_1,China: Wenzhou,,2016/2017,,Rattus tanezumi,Yes,3,No,No,Mammalia,4-2677,1.0,2610-4125,1.0,4117-6628,1.0
